name,almagest_lon_deg,almagest_lat_deg,hip_id,ra_j2000_deg,dec_j2000_deg,pm_ra_cos_dec_mas_yr,pm_dec_mas_yr,note
Arcturus α Boo,177.0,31.5,69673,213.91531,19.18241,-1093.45,-1999.40,very fast — primary for Dambis
Sirius α CMa,77.67,-39.17,32349,101.28716,-16.71612,-546.05,-1223.14,very fast
Procyon α CMi,82.5,-14.0,37279,114.82550,5.22500,-714.59,-1036.80,very fast
Aldebaran α Tau,42.67,-5.17,21421,68.98016,16.50930,63.45,-188.94,slow but well-identified
Pollux β Gem,63.67,6.17,37826,116.32896,28.02620,-625.69,-45.95,fast
Regulus α Leo,122.5,0.17,49669,152.09296,11.96720,-249.40,4.91,medium
Altair α Aql,273.83,29.17,97649,297.69582,8.86832,536.82,385.54,fast
Capella α Aur,70.0,22.5,24608,79.17232,45.99800,75.52,-427.11,medium
Vega α Lyr,247.17,62.0,91262,279.23473,38.78368,200.94,286.23,medium
Spica α Vir,186.67,-2.0,65474,201.29824,-11.16132,-42.50,-31.73,slow
Antares α Sco,215.67,-4.0,80763,247.35191,-26.43200,-10.16,-23.21,slow
Fomalhaut α PsA,357.0,-23.17,113368,344.41269,-29.62224,329.22,-164.22,medium
Deneb α Cyg,274.67,60.0,102098,310.35798,45.28034,1.56,1.55,very slow (check only)
Rigel β Ori,49.5,-31.5,24436,78.63447,-8.20164,1.87,-0.56,very slow
Betelgeuse α Ori,62.0,-17.0,27989,88.79294,7.40706,27.54,11.30,slow
